,2023-09-30,2023-06-30,2023-03-31,2022-12-31,2022-09-30,2022-06-30,2022-03-31,2021-12-31,2021-09-30,2021-06-30,2021-03-31,2020-12-31,2020-09-30,2020-06-30,2020-03-31,2019-12-31,2019-09-30,2019-06-30,2019-03-31,2018-12-31,2018-09-30,2018-06-30,2018-03-31,2017-12-31,2017-09-30,2017-06-30,2017-03-31,2016-12-31,2015-12-31
date,2023-09-30,2023-06-30,2023-03-31,2022-12-31,2022-09-30,2022-06-30,2022-03-31,2021-12-31,2021-09-30,2021-06-30,2021-03-31,2020-12-31,2020-09-30,2020-06-30,2020-03-31,2019-12-31,2019-09-30,2019-06-30,2019-03-31,2018-12-31,2018-09-30,2018-06-30,2018-03-31,2017-12-31,2017-09-30,2017-06-30,2017-03-31,2016-12-31,2015-12-31
filing_date,2023-11-02,2023-08-08,2023-05-02,2023-02-28,2022-11-03,2022-08-04,2022-05-06,2022-03-01,2021-11-09,2021-08-04,2021-05-05,2021-02-25,2020-11-05,2020-08-05,2020-05-07,2020-03-10,2019-11-12,2019-08-06,2019-05-07,2019-03-11,2018-11-08,2018-08-09,2018-05-09,2018-03-15,2017-09-30,2017-06-30,2017-03-31,2016-12-31,2015-12-31
currency_symbol,USD,USD,USD,USD,USD,USD,USD,USD,USD,,,,,,,,,,,,,,,,,,,,
totalAssets,17431000000.00,17334000000.00,17546000000.00,17873000000.00,17568000000.00,17315138000.00,17015000000.00,16894000000.00,16021922000.00,16075886000.00,16011648000.00,16117000000.00,16366067000.00,15958240000.00,16262743000.00,16084000000.00,16947089000.00,16977169000.00,17033697000.00,17209000000.00,16967584000.00,17816000000.00,17858924000.00,17015000000.00,17086997000.00,,,17176481000.00,2319515000.00
intangibleAssets,4823000000.00,5004000000.00,5020000000.00,5092000000.00,5186000000.00,5237681000.00,5286000000.00,5413000000.00,5520747000.00,5649464000.00,5809295000.00,5907000000.00,6046728000.00,6234528000.00,6475283000.00,6670000000.00,6815587000.00,7225974000.00,7349315000.00,7488000000.00,7488118000.00,7569000000.00,7715553000.00,7857000000.00,7974823000.00,,,8308749000.00,1149912000.00
earningAssets,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
otherCurrentAssets,239000000.00,302000000.00,325000000.00,342000000.00,-1000000.00,215353000.00,215412000.00,179000000.00,178015000.00,198967000.00,188930000.00,210000000.00,200401000.00,176545000.00,165628000.00,151000000.00,141221000.00,127630000.00,133834000.00,130000000.00,107364000.00,96000000.00,102349000.00,73000000.00,73855000.00,,,53426000.00,30399000.00
totalLiab,14192000000.00,14016000000.00,14231000000.00,14440000000.00,14361000000.00,13935739000.00,13735000000.00,13645000000.00,13281606000.00,13221264000.00,13033738000.00,13078000000.00,13227591000.00,13164125000.00,13367917000.00,12900000000.00,13235905000.00,13087310000.00,12885666000.00,12984000000.00,12531590000.00,13154000000.00,13135288000.00,13582000000.00,14290295000.00,,,13371505000.00,1616618000.00
totalStockholderEquity,3239000000.00,3318000000.00,3315000000.00,3433000000.00,3207000000.00,3379399000.00,3280000000.00,3249000000.00,2740316000.00,2854622000.00,2977910000.00,3039000000.00,3138476000.00,2794115000.00,2894826000.00,3184000000.00,3711184000.00,3889859000.00,4148031000.00,4225000000.00,4435994000.00,4662000000.00,4723636000.00,3433000000.00,2796702000.00,,,3804976000.00,702897000.00
deferredLongTermLiab,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
otherCurrentLiab,896000000.00,722000000.00,741000000.00,899000000.00,909000000.00,630609000.00,629000000.00,736000000.00,574191000.00,593607000.00,499468000.00,583000000.00,566167000.00,612921000.00,555831000.00,478000000.00,620275000.00,445913000.00,426077000.00,398000000.00,444572000.00,1110000000.00,410646000.00,351000000.00,398750000.00,,,286734000.00,
commonStock,9215000.00,9211000.00,9215000.00,9168000.00,9133000.00,9113000.00,9060000.00,9015000.00,8311000.00,8310000.00,8296000.00,8257000.00,8254000.00,7704000.00,7701000.00,7536000.00,7500000.00,7464000.00,7670000.00,7669000.00,7668000.00,1052000.00,1052000.00,2000.00,2000.00,,,2000.00,
capitalStock,,9211000.00,9215000.00,9168000.00,9133000.00,9113000.00,9060000.00,9015000.00,,,,,,,,,,,,,,,,,,,,,
retainedEarnings,-4160955000.00,-4041963000.00,-4032463000.00,-3909624000.00,-4028519000.00,-3874045000.00,-3933140000.00,-3952590000.00,-3862964000.00,-3724139000.00,-3568615000.00,-3491069000.00,-3349356000.00,-3206845000.00,-3072852000.00,-2742193000.00,-2112318000.00,-1904242000.00,-1773662000.00,-1680432000.00,-1504054000.00,-1241639000.00,-1148059000.00,-998212000.00,-1636400000.00,,,-590840000.00,-54253000.00
otherLiab,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
goodWill,4904000000.00,5344000000.00,5627000000.00,5819000000.00,5822000000.00,5967424000.00,5941000000.00,5943000000.00,5244942000.00,5244685000.00,5242973000.00,5236000000.00,5217275000.00,5219361000.00,5217400000.00,4960000000.00,4956917000.00,5145477000.00,5132911000.00,5082000000.00,5088325000.00,5076000000.00,5078370000.00,5071000000.00,5041262000.00,,,5013376000.00,927896000.00
otherAssets,1000000.00,1843712000.00,-1000000.00,-1000000.00,1626932000.00,1433999000.00,1000000.00,1151427000.00,1063114000.00,,,,,,,,,,,,,-1000000.00,,,,,,,
cash,239000000.00,146000000.00,186000000.00,257000000.00,46000000.00,43609000.00,17000000.00,24000000.00,61207000.00,150439000.00,122554000.00,205000000.00,489433000.00,45473000.00,118141000.00,49000000.00,155774000.00,43052000.00,95680000.00,363000000.00,256917000.00,344000000.00,258195000.00,123000000.00,170657000.00,,,75891000.00,15759000.00
cashAndEquivalents,238582000.00,146435000.00,186316000.00,257000000.00,45734000.00,43609000.00,17404000.00,24453000.00,61207000.00,,,,,,,,,,,,,,,,,,,,
totalCurrentLiabilities,2279000000.00,2319000000.00,1999000000.00,2661000000.00,2686000000.00,2364850000.00,1579000000.00,1703000000.00,1408836000.00,1421272000.00,1314956000.00,1296000000.00,1249448000.00,1236862000.00,1248057000.00,1120000000.00,1474017000.00,1390978000.00,1382169000.00,1012000000.00,1009800000.00,1671000000.00,979210000.00,896000000.00,958463000.00,,,852539000.00,107084000.00
currentDeferredRevenue,272000000.00,386000000.00,395000000.00,403000000.00,429000000.00,388125000.00,374000000.00,374000000.00,339182000.00,347483000.00,355773000.00,346000000.00,341146000.00,347764000.00,349298000.00,342000000.00,343875000.00,340100000.00,340201000.00,335000000.00,310766000.00,316000000.00,319192000.00,309000000.00,315483000.00,,,313278000.00,69143000.00
netDebt,9428000000.00,9525000000.00,9655000000.00,9572000000.00,9757000000.00,9838977000.00,9844000000.00,9669000000.00,9681051000.00,9545776000.00,9434540000.00,9288000000.00,9255032000.00,9702878000.00,9839722000.00,9643000000.00,9695221000.00,9767891000.00,9618396000.00,9639000000.00,9310914000.00,9226000000.00,9318276000.00,10046000000.00,10003808000.00,,,9434079000.00,1331199000.00
shortTermDebt,835000000.00,836000000.00,465000000.00,872000000.00,858000000.00,883851000.00,126000000.00,118000000.00,134443000.00,123137000.00,111274000.00,45000000.00,69035000.00,63029000.00,58805000.00,58000000.00,212877000.00,329884000.00,366475000.00,58000000.00,48327000.00,48000000.00,48519000.00,48000000.00,44456000.00,,,40288000.00,16813000.00
shortLongTermDebt,835000000.00,836000000.00,465000000.00,872000000.00,857746000.00,844195000.00,126363000.00,117592000.00,,,,,,,,,,,,,,,,,,,,,
shortLongTermDebtTotal,9667000000.00,9671000000.00,9841000000.00,9829000000.00,9803000000.00,9882586000.00,9861000000.00,9693000000.00,9742258000.00,9696215000.00,9557094000.00,9493000000.00,9744465000.00,9748351000.00,9957863000.00,9692000000.00,9850995000.00,9810943000.00,9714076000.00,10002000000.00,9567831000.00,9570000000.00,9576471000.00,10169000000.00,10174465000.00,,,9509970000.00,1346958000.00
otherStockholderEquity,7407164000.00,7390257000.00,7381341000.00,7380656000.00,7273647000.00,7295665000.00,7261970000.00,6965069000.00,6677875000.00,6665145000.00,6644332000.00,6640763000.00,6613866000.00,6139135000.00,6114409000.00,5977402000.00,5930174000.00,5888576000.00,5993668000.00,5969347000.00,5947280000.00,5935377000.00,5890377000.00,4435329000.00,4432599000.00,,,4424321000.00,757150000.00
propertyPlantEquipment,3353749000.00,340898000.00,356067000.00,3437000000.00,3551861000.00,3471778000.00,3405106000.00,3357581000.00,3274805000.00,,,,,,,,,,,,,,,,,,,,
totalCurrentAssets,1635000000.00,1555000000.00,1625000000.00,1722000000.00,1364000000.00,1183693000.00,1067000000.00,993000000.00,871663000.00,948647000.00,867821000.00,967000000.00,1179911000.00,651110000.00,718956000.00,625000000.00,1319167000.00,582475000.00,606545000.00,854000000.00,626723000.00,1451000000.00,621632000.00,456000000.00,492743000.00,,,388356000.00,141693000.00
longTermInvestments,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
netTangibleAssets,,-7030346000.00,-7331803000.00,,,,,,,,,,,,,,,,,,,,,,,,,,
shortTermInvestments,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
netReceivables,384000000.00,622000000.00,598000000.00,597000000.00,540000000.00,528113000.00,454000000.00,442000000.00,363060000.00,356736000.00,331698000.00,336000000.00,289680000.00,258901000.00,270452000.00,287000000.00,284856000.00,275545000.00,245360000.00,246000000.00,154629000.00,149000000.00,151350000.00,149000000.00,134243000.00,,,135218000.00,71501000.00
longTermDebt,8832000000.00,8956671000.00,9376000000.00,8957000000.00,8945314000.00,8998735000.00,9735304000.00,9575098000.00,9469292000.00,,,,,,,,,,,,,,,,,,,,
inventory,206000000.00,371000000.00,399000000.00,410000000.00,424000000.00,396618000.00,381000000.00,348000000.00,269381000.00,242505000.00,224639000.00,216000000.00,200397000.00,170191000.00,164735000.00,138000000.00,145889000.00,136248000.00,131671000.00,115000000.00,107813000.00,108000000.00,105855000.00,107000000.00,110107000.00,,,108889000.00,24034000.00
accountsPayable,276000000.00,375000000.00,398000000.00,487000000.00,490000000.00,462265000.00,450000000.00,475000000.00,361020000.00,357045000.00,348441000.00,322000000.00,273100000.00,213148000.00,284123000.00,242000000.00,296990000.00,275081000.00,249416000.00,221000000.00,206135000.00,197000000.00,200853000.00,188000000.00,199774000.00,,,212239000.00,21128000.00
totalPermanentEquity,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
noncontrollingInterestInConsolidatedEntity,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
temporaryEquityRedeemableNoncontrollingInterests,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
accumulatedOtherComprehensiveIncome,-16759000.00,-39505000.00,-43093000.00,-47200000.00,-47261000.00,-51334000.00,-57890000.00,-68973000.00,-82906000.00,-94694000.00,-106103000.00,-118615000.00,-134288000.00,-145879000.00,-154432000.00,-58376000.00,-114172000.00,-101939000.00,-79645000.00,-71779000.00,-14900000.00,-32948000.00,-19734000.00,-4007000.00,501000.00,,,-28507000.00,
additionalPaidInCapital,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
commonStockTotalEquity,,9211000.00,9215000.00,,,,,,,,,,,,,,,,,,,,,,,,,,
preferredStockTotalEquity,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
retainedEarningsTotalEquity,,-4041963000.00,-4032463000.00,,,,,,,,,,,,,,,,,,,,,,,,,,
treasuryStock,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
accumulatedAmortization,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
nonCurrrentAssetsOther,2801000000.00,1987000000.00,1840000000.00,1804000000.00,1779000000.00,1576270000.00,1439000000.00,1313000000.00,1109765000.00,1021641000.00,1069436000.00,1018000000.00,948234000.00,885671000.00,824404000.00,761000000.00,742693000.00,736820000.00,695022000.00,550000000.00,549188000.00,508000000.00,1224901000.00,406000000.00,343717000.00,,,286273000.00,65192000.00
deferredLongTermAssetCharges,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
nonCurrentAssetsTotal,15795000000.00,15779000000.00,15922000000.00,16152000000.00,16204000000.00,16131445000.00,15947000000.00,15901000000.00,15150259000.00,15127239000.00,15143827000.00,15150000000.00,15186156000.00,15307130000.00,15543787000.00,15459000000.00,15627922000.00,16394694000.00,16427152000.00,16355000000.00,16340861000.00,16366000000.00,17237292000.00,16559000000.00,16594254000.00,,,16788125000.00,2177822000.00
capitalLeaseObligations,,25779000.00,26964000.00,28696000.00,31022000.00,39656000.00,38469000.00,37359000.00,,,,,,,,,,,,,,,,,,,,,
longTermDebtTotal,8832409000.00,8834725000.00,9375568000.00,8957000000.00,8945314000.00,8998735000.00,9735304000.00,9575098000.00,9508341000.00,,,,,,,,,,,,,,,,,,,,
nonCurrentLiabilitiesOther,216000000.00,2099186000.00,2001257000.00,272000000.00,247630000.00,213911000.00,224050000.00,300693000.00,,,,,,,,,,,,,,,,,,,,,
nonCurrentLiabilitiesTotal,11913000000.00,11697000000.00,12232000000.00,11779000000.00,11675000000.00,11570889000.00,12156000000.00,11942000000.00,11872770000.00,11799992000.00,11718782000.00,11782000000.00,11978143000.00,11927263000.00,12119860000.00,11780000000.00,11761888000.00,11696332000.00,11503497000.00,11972000000.00,11521790000.00,11483000000.00,12156078000.00,12686000000.00,13331832000.00,,,12518966000.00,1444659000.00
negativeGoodwill,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
warrants,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
preferredStockRedeemable,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
capitalSurpluse,7407164000.00,7390269000.00,7380867000.00,7380759000.00,7273501000.00,7295665000.00,7262237000.00,7261267000.00,6677875000.00,,,,,,,,,,,,,,,,,,,,
liabilitiesAndStockholdersEquity,17431000000.00,17334000000.00,17546000000.00,17873000000.00,17568000000.00,17315138000.00,17015000000.00,16894000000.00,16021922000.00,16075886000.00,16011648000.00,16117000000.00,16366067000.00,15958240000.00,16262743000.00,16084000000.00,16947089000.00,16977169000.00,17033697000.00,17209000000.00,16967584000.00,17816000000.00,17858924000.00,17015000000.00,17086997000.00,,,17176481000.00,2319515000.00
cashAndShortTermInvestments,239000000.00,146000000.00,186000000.00,257000000.00,46000000.00,43609000.00,17000000.00,24000000.00,61207000.00,150439000.00,122554000.00,205000000.00,489433000.00,45473000.00,118141000.00,49000000.00,155774000.00,43052000.00,95680000.00,363000000.00,256917000.00,344000000.00,258195000.00,123000000.00,170657000.00,,,75891000.00,15759000.00
propertyPlantAndEquipmentGross,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
propertyPlantAndEquipmentNet,3267000000.00,3444000000.00,3435000000.00,3437000000.00,3417000000.00,3350070000.00,3281000000.00,3232000000.00,3274805000.00,3211449000.00,3022123000.00,2989000000.00,2973919000.00,2967570000.00,3026700000.00,3068000000.00,3112725000.00,3286423000.00,3249904000.00,3235000000.00,3215230000.00,3213000000.00,3218468000.00,3225000000.00,3234452000.00,,,3179727000.00,34822000.00
